2023-07-26 22:16:11.876 | WARNING  | vediodownloadprocesser:downloadTsFiles:257 - 下载任务结束，总计下载耗时:4.4 分钟
2023-07-26 22:16:11.877 | WARNING  | vediodownloadprocesser:mergeTs2MP4:445 - 开始转为mp4，待转换TS文件数量：117
2023-07-26 22:16:12.333 | WARNING  | vediodownloadprocesser:mergeTs2MP4:472 - 转换结束
2023-07-26 22:16:15.127 | WARNING  | __main__:setPercentV:393 - 当前进度100
2023-07-26 22:16:20.129 | WARNING  | __main__:setPercentV:393 - 当前进度100
2023-07-26 22:20:35.498 | WARNING  | __main__:startDownLoad:355 - 后台线程去执行下载
2023-07-26 22:20:35.499 | WARNING  | vediodownloadprocesser:init:55 - ------初始化系统配置：start-----------
2023-07-26 22:20:35.502 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:20:35.502 | WARNING  | vediodownloadprocesser:init:72 - ------初始化系统配置：end-----------
2023-07-26 22:20:35.503 | WARNING  | vediodownloadprocesser:downLoadStart:388 - 需要解析含有的视频信息
2023-07-26 22:20:35.503 | WARNING  | vediodownloadprocesser:parseSubUrls:262 - 需要预解析URL：https://51cg1.com/archives/60856/
2023-07-26 22:20:40.500 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:20:45.500 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:20:45.891 | WARNING  | vediodownloadprocesser:parseSubUrls:310 - 预解析结束
2023-07-26 22:20:45.892 | WARNING  | vediodownloadprocesser:downLoadStart:394 - the url:https://51cg1.com/archives/60856/，共含m3u8文件1, mp4的文件个数0
2023-07-26 22:20:50.502 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:20:52.403 | WARNING  | vediodownloadprocesser:tsDownload1By1:326 - m3u8文件的保存路径： E:\sourcecode\vediodownloader\dist\download\download\20230726_222035\site.m3u8
2023-07-26 22:20:52.406 | WARNING  | vediodownloadprocesser:tsDownload1By1:342 - Decode Method：
2023-07-26 22:20:52.855 | WARNING  | vediodownloadprocesser:tsDownload1By1:352 - ts文件的加密 key:b'\x9a\x92\xbe\x0f\xc4\x0cZ{a\x8c\xaelJ\x99\xde\xf1'
2023-07-26 22:20:52.855 | WARNING  | vediodownloadprocesser:tsDownload1By1:363 - ts文件的URL解析完成
2023-07-26 22:20:52.855 | WARNING  | vediodownloadprocesser:downloadTsFiles:187 - 一共待下载的ts文件数：70
2023-07-26 22:20:55.502 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:21:00.506 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:21:05.519 | WARNING  | __main__:setPercentV:393 - 当前进度15
2023-07-26 22:21:10.530 | WARNING  | __main__:setPercentV:393 - 当前进度34
2023-07-26 22:21:15.538 | WARNING  | __main__:setPercentV:393 - 当前进度45
2023-07-26 22:21:20.550 | WARNING  | __main__:setPercentV:393 - 当前进度65
2023-07-26 22:21:25.561 | WARNING  | __main__:setPercentV:393 - 当前进度74
2023-07-26 22:21:30.575 | WARNING  | __main__:setPercentV:393 - 当前进度81
2023-07-26 22:21:35.579 | WARNING  | __main__:setPercentV:393 - 当前进度88
2023-07-26 22:21:40.581 | WARNING  | __main__:setPercentV:393 - 当前进度92
2023-07-26 22:21:45.593 | WARNING  | __main__:setPercentV:393 - 当前进度98
2023-07-26 22:21:47.477 | WARNING  | vediodownloadprocesser:downloadTsFiles:257 - 下载任务结束，总计下载耗时:0.9 分钟
2023-07-26 22:21:47.478 | WARNING  | vediodownloadprocesser:mergeTs2MP4:445 - 开始转为mp4，待转换TS文件数量：70
2023-07-26 22:21:47.906 | WARNING  | vediodownloadprocesser:mergeTs2MP4:472 - 转换结束
2023-07-26 22:21:50.597 | WARNING  | __main__:setPercentV:393 - 当前进度100
2023-07-26 22:21:55.601 | WARNING  | __main__:setPercentV:393 - 当前进度100
2023-07-26 22:27:47.259 | WARNING  | __main__:startDownLoad:355 - 后台线程去执行下载
2023-07-26 22:27:47.259 | WARNING  | vediodownloadprocesser:init:55 - ------初始化系统配置：start-----------
2023-07-26 22:27:47.260 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:27:47.260 | WARNING  | vediodownloadprocesser:init:72 - ------初始化系统配置：end-----------
2023-07-26 22:27:47.261 | WARNING  | vediodownloadprocesser:downLoadStart:388 - 需要解析含有的视频信息
2023-07-26 22:27:47.262 | WARNING  | vediodownloadprocesser:parseSubUrls:262 - 需要预解析URL：https://51cg1.com/archives/61095/
2023-07-26 22:27:48.634 | WARNING  | vediodownloadprocesser:parseSubUrls:310 - 预解析结束
2023-07-26 22:27:48.634 | WARNING  | vediodownloadprocesser:downLoadStart:394 - the url:https://51cg1.com/archives/61095/，共含m3u8文件1, mp4的文件个数0
2023-07-26 22:27:49.673 | WARNING  | vediodownloadprocesser:tsDownload1By1:326 - m3u8文件的保存路径： E:\sourcecode\vediodownloader\dist\download\download\download\20230726_222747\site.m3u8
2023-07-26 22:27:49.674 | WARNING  | vediodownloadprocesser:tsDownload1By1:342 - Decode Method：
2023-07-26 22:27:49.752 | WARNING  | vediodownloadprocesser:tsDownload1By1:352 - ts文件的加密 key:b')P\xaa\xf1\xaf\x13g\x80\x7f\xb1\xa2\x1a\xa5\xf6\xda\xe0'
2023-07-26 22:27:49.753 | WARNING  | vediodownloadprocesser:tsDownload1By1:363 - ts文件的URL解析完成
2023-07-26 22:27:49.754 | WARNING  | vediodownloadprocesser:downloadTsFiles:187 - 一共待下载的ts文件数：135
2023-07-26 22:27:52.260 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:27:57.260 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:28:02.262 | WARNING  | __main__:setPercentV:393 - 当前进度5
